Problem Number,First Solution Time (s),All Solutions Time (s),Number of Solutions
458,0.083323,13.1784,1
459,0.466752,13.8946,1
460,0.094961,13.5355,1
461,4.868628,13.1545,1
462,1.725724,13.2887,1
463,0.032015,13.1127,1
464,0.049765,12.9546,1
465,0.005650,12.9474,1
466,4.577708,13.1026,1
467,1.225315,12.8301,1
468,0.006009,12.857,1
469,2.249462,13.2045,1
470,0.000860,12.7973,1
471,0.000712,12.8637,1
472,0.008288,12.9804,1
473,2.896932,13.9382,2
474,4.854230,13.4081,1
475,0.701319,13.8852,1
476,0.002502,13.3357,1
477,2.268068,13.7053,1
478,0.026383,13.9174,1
479,0.001328,13.4068,1
480,0.009091,14.9543,1
481,0.000256,13.6578,1
482,0.002595,13.9404,1
483,0.457523,13.96,1
484,0.000025,13.6941,1
485,0.194911,12.6734,2
486,0.024641,13.3087,1
487,2.219836,13.3204,1
488,2.367319,12.5939,1
489,0.008133,12.3354,1
490,0.003534,12.6913,1
491,0.092113,13.5154,1
492,0.000242,12.845,1
493,0.106422,13.2612,1
494,1.983071,13.0888,2
495,0.000068,13.0313,1
496,0.713379,13.4178,1
497,5.346783,13.1476,1
498,0.005245,12.7666,1
499,0.039114,13.4982,1
500,1.703046,13.1375,1
501,4.453059,13.2874,2
502,1.641347,12.6554,1
503,0.540281,13.4921,1
504,0.279223,13.2981,1
505,0.001969,13.1328,1
506,0.155526,13.0918,1
507,0.104187,12.4823,2
508,0.002416,13.5733,1
509,0.000728,13.1946,1
510,2.774892,13.9587,1
511,0.482399,13.8372,1
512,0.946554,13.5571,1
513,0.026631,13.085,1
514,0.166550,13.639,1
515,0.212529,13.244,1
516,0.067298,13.6295,1
517,0.102936,12.9939,1
518,3.618059,12.7045,1
519,0.001152,12.8371,1
520,0.001451,12.7035,1
521,0.015909,12.2534,1
522,0.485119,13.0361,1
523,0.296910,12.6562,1
524,0.039476,12.4303,1
525,0.002557,12.6394,1
526,0.000544,12.427,1
527,0.744771,12.8108,1
528,1.176498,12.4709,1
529,0.424992,13.315,1
530,2.124617,13.1473,2
531,0.013923,13.1082,1
532,0.418214,12.1477,1
533,2.646931,12.9962,1
534,2.862018,12.4289,1
535,4.937276,12.7765,1
536,0.008253,12.6527,1
537,1.442856,12.8734,1
538,4.317704,13.1858,1
539,0.053020,12.4619,1
540,0.029924,12.8924,1
541,1.057357,12.657,1
542,0.022263,13.2903,1
543,0.932411,13.1346,1
544,1.530072,13.2829,2
545,1.701633,12.7509,1
546,0.027482,12.1736,1
547,0.009486,12.9368,1
548,0.361059,12.9554,1
549,4.498864,12.863,2
550,2.011634,13.0562,1
551,0.002054,12.5166,1
552,0.014840,12.9982,1
553,0.035955,12.2971,1
554,2.861747,13.1961,1
555,0.262112,12.9969,2
556,0.006854,12.5036,1
557,0.005535,12.6249,1
558,0.001675,12.3286,1
559,0.710791,12.8485,1
560,0.000499,12.4441,1
561,0.908842,13.4466,1
562,0.001024,15.0109,1
563,0.000080,14.9011,1
564,0.066031,14.7487,1
565,0.036913,14.9192,1
566,0.001075,14.7816,1
567,1.827425,15.0103,2
568,1.567956,15.1347,1
569,0.076550,14.3307,1
570,2.122910,15.131,1
571,0.089040,15.1385,1
572,4.802352,14.8539,1
573,0.000968,14.1282,1
574,5.398568,13.42,1
575,0.098030,12.9565,1
576,0.823490,13.1553,2
577,0.293020,12.907,1
578,0.000022,12.934,1
579,0.323699,12.9701,2
580,0.000364,12.8173,1
581,0.854414,13.7501,1
582,3.987747,13.3954,1
583,0.049635,13.1335,1
584,0.006227,12.7509,1
585,0.043014,12.3056,1
586,4.287138,12.8118,1
587,1.790222,12.35,1
588,0.565533,12.3911,2
589,0.152013,12.1606,1
590,0.002436,12.6174,1
591,0.003964,12.5369,1
592,0.049341,12.5054,1
593,2.726833,12.3429,2
594,0.036971,12.034,1
595,0.004842,12.9226,1
596,1.663577,12.2887,1
597,4.785416,12.3519,2
598,1.375974,12.0518,1
599,3.502844,11.8059,2
600,0.744105,12.6121,1
601,0.004409,12.1283,1
602,0.624401,12.8637,1
603,0.000643,12.7896,1
604,1.616176,12.1969,1
605,0.002312,12.3692,1
606,0.000573,11.9584,1
607,0.000443,12.9623,1
608,1.092551,12.7348,1
609,0.001024,12.8037,1
610,0.005293,13.0458,1
611,0.007276,12.8011,1
612,0.258939,12.6524,1
613,0.862521,12.7467,1
614,0.003120,12.1544,1
615,2.895603,12.4945,2
616,0.005455,12.8043,1
617,3.497204,13.7894,1
618,0.453235,12.9451,1
619,0.034805,12.5675,1
620,0.004981,13.2813,1
621,0.003839,12.9139,1
622,0.000583,13.6494,1
623,0.446674,13.3283,2
624,2.706117,14.3585,1
625,0.000682,13.0975,1
626,0.000476,12.9813,1
627,0.004045,14.0404,1
628,5.205897,13.5392,1
629,0.000076,12.6272,1
630,0.872246,13.4804,1
631,0.198614,12.9564,1
632,0.304111,12.4971,2
633,0.005179,12.8595,1
