Problem Number,First Solution Time (s),All Solutions Time (s),Number of Solutions
488,1.526332,12.5649,3
489,0.000103,13.0344,5
490,0.019259,12.8992,2
491,3.927866,13.3233,1
492,0.026941,12.9793,1
493,4.047063,13.2977,1
494,1.235357,12.8763,3
495,1.806749,12.6209,2
496,1.930329,12.9718,1
497,0.000103,13.2785,2
498,0.007535,13.0419,3
499,0.024287,12.5462,2
500,0.906848,12.6378,3
501,0.000810,12.8897,2
502,0.006089,12.6141,2
503,0.000161,12.47,3
504,0.001082,13.1631,1
505,0.007024,12.8628,1
506,0.028100,12.9623,1
507,0.210461,14.1343,3
508,5.688960,13.1689,1
509,1.436940,13.6851,2
510,0.005980,12.7298,1
511,0.510543,13.0889,1
512,0.592131,13.2453,1
513,0.002228,13.5659,3
514,0.209866,12.8219,1
515,0.006807,12.8247,4
516,0.568992,12.6438,2
517,0.010870,13.3162,2
518,3.933765,12.5049,1
519,0.065048,13.0935,1
520,0.131060,12.9283,3
521,0.275271,13.1326,3
522,0.014743,13.0603,2
523,0.597032,13.1651,1
524,0.004952,12.4603,1
525,0.403444,12.7733,5
526,0.040966,13.1275,1
527,0.011578,12.7898,5
528,0.003181,13.0401,1
529,0.002787,12.6454,2
530,4.794224,13.5787,1
531,3.496353,13.2257,2
532,3.492971,12.8907,2
533,0.053823,13.4587,1
534,0.001043,12.6986,3
535,3.693611,12.698,2
536,0.012195,12.6435,1
537,0.035660,13.4729,2
538,0.795075,12.1027,2
539,3.277492,13.0576,4
540,3.835309,12.6548,1
541,5.523115,13.0532,1
542,0.020862,12.5696,2
543,0.243280,12.9551,2
544,0.428317,13.0022,2
545,0.090128,13.1896,2
546,0.005598,12.7804,2
547,0.104927,13.2979,3
548,0.576259,13.5649,2
549,4.491837,12.8325,3
550,0.001108,13.2025,3
551,0.008849,12.9117,1
552,0.390362,12.3622,4
553,0.001455,12.5093,2
554,0.022123,12.8499,6
555,0.182314,13.1376,3
556,0.781353,12.2039,3
557,0.007602,12.4933,1
558,0.018647,13.2005,2
559,1.450228,13.8072,4
560,0.827590,13.4121,2
561,1.267446,13.5044,1
562,4.613412,12.7414,1
563,0.900269,13.379,3
564,0.333625,13.2116,1
565,0.366016,12.5674,3
566,0.705686,12.6427,3
567,0.020635,12.9799,2
568,0.001385,12.7759,3
569,0.001230,13.6857,1
570,1.892630,13.0466,2
571,4.142192,12.9961,1
572,0.010396,12.6449,2
573,2.324260,13.3368,3
574,0.000307,12.6999,1
575,0.000120,12.2269,1
576,0.782352,12.8633,2
577,0.350310,12.8759,5
578,0.000550,13.2901,2
579,0.005056,12.5277,1
580,1.312296,12.9893,1
581,0.001043,13.2399,3
582,0.046365,12.632,3
583,3.265959,12.6927,2
584,0.012311,13.2034,2
585,4.371356,12.9958,2
586,4.127978,12.4553,2
587,0.001868,12.479,1
588,0.370568,12.4639,2
589,0.019649,12.8644,2
590,0.001217,12.5929,1
591,0.000705,12.601,2
592,0.581011,12.1639,1
593,0.012837,12.9514,2
594,0.203327,13.4445,5
595,0.904806,12.3512,2
596,0.506187,13.298,3
597,0.128615,12.4406,1
598,0.029759,12.6901,5
599,0.003102,12.6374,2
600,0.345702,13.1475,1
601,0.268219,12.7185,1
602,0.131311,13.152,3
603,0.001077,12.929,2
604,1.536491,13.1461,2
605,0.000095,13.2384,1
606,0.055372,12.9894,1
607,0.304246,13.5107,1
608,0.001948,13.1498,1
609,0.017054,12.9581,2
610,0.012843,13.3551,2
611,3.582700,12.7806,1
612,0.000208,11.861,2
613,0.001847,12.9552,3
614,0.131949,12.7648,2
615,0.000756,12.9472,1
616,0.135936,13.4422,2
617,0.000150,13.0878,3
618,0.832908,12.9511,1
619,0.008650,13.0303,2
620,0.237221,12.6356,2
621,0.061989,13.0783,2
622,0.000273,12.7095,2
623,3.562689,12.9547,2
624,0.384731,12.4147,1
625,0.024720,12.8795,2
626,0.526432,12.9346,2
627,0.112203,12.8775,2
628,0.068610,12.7947,2
629,0.705713,12.642,2
630,0.001277,12.6496,1
631,0.900699,12.5336,2
632,2.330430,13.2457,2
633,0.001585,13.3565,2
634,0.000282,12.5465,3
635,0.935826,12.7748,3
636,0.615170,12.9229,1
637,0.002859,12.346,1
638,1.384041,13.0084,3
639,0.063733,12.7952,1
640,0.000155,12.9292,2
641,0.002284,12.8238,3
642,0.007161,12.5788,1
643,0.926861,12.9176,2
644,1.885712,13.4792,2
645,2.381521,13.3945,1
646,0.626291,13.5109,1
647,1.722801,13.2941,2
648,1.257534,13.5186,3
649,0.017133,13.2248,2
650,1.723944,13.3738,2
651,1.291351,13.8381,3
652,0.283574,13.7518,2
653,1.912899,14.0528,1
654,0.019650,14.2332,2
655,0.005151,13.1567,2
656,0.789762,14.3008,1
657,0.000086,13.2317,1
658,1.272541,13.1604,2
659,1.758749,13.3651,2
660,4.554714,13.656,1
661,0.020541,13.0765,1
662,0.324906,12.6926,4
663,2.068622,12.8533,2
664,0.039075,12.7366,1
665,0.850569,13.1653,2
666,0.003816,13.246,4
667,1.440373,13.2613,1
668,0.006983,13.3902,2
669,0.014582,12.8806,2
670,0.141663,13.3849,3
671,0.266415,12.7007,2
672,0.004831,13.8468,2
673,0.002869,13.0864,3
674,4.566267,13.102,1
675,0.013025,13.1129,2
676,5.374452,13.6473,1
677,0.214841,13.8426,3
678,0.000183,13.6597,4
679,0.061917,12.8485,1
680,3.083218,13.0587,3
681,0.011848,12.7429,2
682,5.661933,13.8576,2
683,2.096374,13.4133,1
684,0.002228,12.8793,2
685,0.608741,13.004,2
686,1.227212,12.998,3
687,0.008624,12.2449,1
688,0.000228,12.4268,5
689,0.024357,12.7917,1
690,0.015353,12.9346,2
691,0.704087,13.6175,1
692,5.037765,12.7142,1
693,0.064738,13.2697,2
694,0.374501,13.0609,1
695,0.018837,12.6543,1
696,2.306515,13.0423,1
697,0.002540,12.6501,2
698,0.003685,12.8776,4
699,2.955373,13.2036,1
700,0.126487,13.2184,1
701,0.021024,13.2531,3
702,0.003998,13.4124,2
703,2.080997,13.0779,1
704,0.000464,13.2338,2
705,0.000558,13.5447,3
706,1.936414,13.2089,4
707,0.001154,13.9878,2
708,4.006819,13.1444,2
709,2.918243,12.7939,4
710,1.469910,12.9411,2
711,2.865360,12.84,2
712,4.710546,13.9955,2
713,0.000664,13.1194,2
714,0.004546,12.803,1
715,0.912407,12.8114,2
716,0.068815,12.8463,1
717,0.721212,12.9208,2
718,0.000180,13.1959,1
719,2.392445,13.4477,1
720,3.695328,13.935,1
721,0.710038,13.0627,1
722,0.294596,12.4458,1
723,0.662726,13.7042,2
724,1.002387,13.3267,4
725,3.622141,13.1594,1
726,0.222301,13.2029,1
727,0.737115,13.3123,2
728,0.000069,12.93,1
729,0.068526,13.6123,2
730,0.040262,13.1553,2
731,0.272990,12.6946,1
732,2.306068,12.9883,2
733,1.189166,13.4415,2
734,4.587208,12.8678,2
735,0.004745,13.0181,1
736,2.702846,13.0755,2
737,0.000052,13.2332,1
738,0.552789,13.546,1
739,3.251760,12.9087,2
740,5.281256,13.5608,1
741,0.277226,13.5475,4
742,0.000170,13.4983,1
743,0.004210,12.949,2
744,0.502310,12.7914,2
745,1.670047,12.7038,2
746,0.022361,12.7232,1
747,0.004548,12.699,2
748,0.220363,12.7618,3
749,0.000029,13.1227,3
750,0.001296,13.9259,4
751,0.322496,13.0661,2
752,0.000146,13.3523,2
753,3.166705,12.664,1
754,2.652831,13.4786,3
755,0.240097,12.9856,2
756,2.235279,12.5802,1
757,0.012089,12.7066,2
758,0.002492,12.6362,2
759,1.277098,11.5906,3
760,0.047566,10.7228,1
761,0.369627,9.7742,3
762,0.153701,9.46202,2
763,0.790404,8.8743,2
764,0.006202,8.45253,1
